# package_name	weekly_downloads
tabs	2693
circular	2691
accessibility	2688
lg-fullscreen	2674
twikoo	2651
tiny-date-picker	2607
aes	2598
functions	2585
leaflet-velocity	2578
jquery-expander	2525
bash	2515
hogan	2514
skycons	2504
jsignature	2503
services	2496
webcam	2492
offline	2479
weui	2467
math	2464
eventemitter	2454
svg	2446
skulpt	2433
alert	2413
table-dragger	2406
chartist-plugin-tooltip	2399
jquery-nestable	2397
bootstrap-rtl	2388
adminlte	2386
mixin	2342
datatables-bootstrap	2290
fuelux	2281
iso8601	2277
jquery-waypoints	2275
placeholders	2272
core	2258
carousel	2246
foundation	2228
pdf	2219
sorttable	2216
reject	2191
iso8601-js-period	2188
msgpack	2169
json2	2166
json-lint	2161
aplayer	2152
datepicker	2145
react-d3	2137
excel	2115
switch	2079
slider	2073
webdatarocks	2072
footable	2050
fileapi	2045
leaflet-timedimension	2017
detector	2014
ol-popup	2014
skeleton	2005
pixeden-stroke-7-icon	1989
polyfills	1977
resonance-audio	1961
haxe	1945
emojionearea	1937
plugins	1922
lg-hash	1908
modules	1903
simple-scrollbar	1901
jquery-cycle	1895
checkbox	1890
two	1882
decomp	1876
ldif	1864
gradient	1863
tween	1832
netlify-cms	1829
home	1817
flot.curvedlines	1814
histogram	1812
mdl-selectfield	1807
urchin	1796
prefixfree	1795
opentype	1784
please-wait	1771
vegas	1766
cocoen	1763
docs	1746
rita	1736
regular	1723
template	1706
jquery-form-validator	1704
introjs	1691
backendless	1690
sha512	1684
bootstrap-utilities	1683
choices	1679
resizable	1679
label	1674
artalk	1672
superfish	1672
bootstrap-editable	1651
jcanvas	1651
breadcrumb	1648
lg-autoplay	1642
ajax	1629
sortable	1623
skrollr	1622
datetimepicker	1619
lg-pager	1617
colorize	1605
mapbox-gl-draw	1596
socket-io	1577
view	1577
native	1575
hls	1574
jquery-backstretch	1572
bootstrap-reboot	1565
dataset	1565
sumoselect	1565
detectizr	1562
velocity	1551
firebase-app	1542
powershell	1534
jmpress	1526
readable	1520
envelope	1503
sas	1500
example	1490
nestable	1490
minivents	1486
localstorage	1485
outdatedbrowser	1485
typeface-source-code-pro	1485
vanilla-back-to-top	1485
production	1472
lg-share	1462
esri	1452
videojs	1440
tracery	1438
password-strength-meter	1434
tweenjs	1425
gradle	1401
image-picker	1395
jquery-resizable	1383
ace	1377
picnic	1371
stacktrace	1363
push	1347
social-likes-next	1347
navigation	1344
animate	1341
mobile	1338
textarea	1336
persian-date	1324
themify-icons	1310
leaflet-sidebar	1298
tree	1295
overlay	1290
synaptic	1286
picogl	1277
mousetrap-pause	1274
jssocials	1258
jquery-inputmask	1224
key	1211
canvasxpress	1186
jquery-flexdatalist	1170
amcharts	1165
locales	1161
shareon	1147
flot-charts	1126
jquery-mobile	1118
formvalidation	1088
jquery-ellipsis	1085
respond	1084
hideshowpassword	1078
bootstrap-paginator	1076
datatables-responsive	1072
abnf	1066
lightcase	1060
uploadcare	1048
render	1047
spinner	1047
deeplearn	1046
jquery-validate	1045
inlines	1043
jrespond	1043
mix	1029
text	1025
print	1012
eqcss	1009
sdk	1003
state-machine	1002
angular-linkify	999
dependency	999
scrolltrigger	995
flot-spline	980
filter	973
butterfly-extsrc	969
lottie-player	969
willbe	969
grid	967
numjs	963
email	948
messages	945
react-dom-server	941
steem	927
jquery-ui-slider	915
status-bar	913
strength	911
pubsub	907
leaflet-ajax	898
speech-recognition	897
hexo-math	896
masonry	894
rivescript	891
join	890
meting	889
jquery-scrollify	886
master	883
gmap3	876
persian-datepicker	865
spectrum	849
login	848
res	843
oimo	842
webcomponents-lite	836
csshake	833
angularfire	829
bootstrap-grid	815
appear	814
status	807
trianglify	807
izimodal	792
jcrop	791
load	786
bulma-carousel	783
fotorama	779
swipe	778
deck	772
simple-jekyll-search	772
jcarousel	770
chartjs-plugin-draggable	767
knob	759
d3plus	754
jetpack	751
new	750
tangram	750
brython	748
leaflet-label	745
map	738
chosen-jquery	734
alertify	730
fontawesome-markers	730
menuspy	730
export	729
datatables-buttons	728
slidebars	728
selectboxit	727
umami	722
keys	720
myscript	720
simple-slider	719
simple	716
animsition	714
jquery-scrollto	703
bootstrap-suggest	701
easing	701
universe	694
w2ui	692
klass	691
emojis	687
tab	683
coi-serviceworker	677
basic	676
catalog	671
htmlbars	669
angular-slick	668
report	664
jquery-chosen	663
swift	662
ui-kit	661
easings	659
materialize	657
owlcarousel	651
science	650
hmac	644
time	638
owl-carousel	634
guillotine	630
segment	628
soundjs	628
autocomplete	626
disqusjs	622
video-js	622
angular-chart	621
lobibox	620
jquery2	617
tempusdominus-bootstrap	617
jquery-sidebar	612
ui-grid	611
simplify	601
transition	591
chosen	590
ng-grid	586
unitegallery	585
search	583
feedback	582
hexo-butterfly-tag-plugins-plus	580
hammer	578
easing-js	577
tipso	572
autosave	571
complex	571
pixi-sound	568
minified	567
php	566
sandstone	566
winwheel	565
dat-gui	562
examples	560
google-calendar	558
rrssb	558
shortcodes	555
htmx	554
leaflet-pip	551
runtime	547
settings	547
buzz	527
aframe-animation-component	526
cleave	523
easeljs	523
magnify	518
number	518
zinggrid	512
angular-datepicker	507
mask	507
datatables-tabletools	506
jquery-tooltip	506
flowplayer	504
jquery-bootstrap-wizard	500
jquery-json	498
angular-momentjs	496
bootstrapvalidator	496
state	492
resources	490
serial	490
superhero	489
responsivevoice	488
terminal	487
water.css	482
tracery-grammar	481
pick-a-color	478
leaflet-velocity-ts	475
jquery-daterangepicker	465
lightbox	465
verify	464
pagemap	461
tag	457
big	456
flag-icon	456
viewport	454
dialogs	453
info	453
checkout	451
slicknav	449
prototype	448
get	447
leaflet-svg-shape-markers	445
d3-jetpack	443
javascript	442
rtcmulticonnection	440
icofont	439
popup	436
progressbar	431
inview	428
register	428
flip	425
l10n	422
frontend	421
syntaxhighlighter	420
x3dom	420
velocity-ui-pack	419
jquery-maxlength	415
uri	412
lame	408
mercury	408
raster-marching-squares	408
percent	403
ahoy	402
charming	398
controller	398
html5	398
termynal	390
vue-tables	390
aframe-troika-text	385
sweet-alert	384
argon	382
gallery	380
ui-bootstrap	378
datatables-select	376
jquery-datatables	375
magic	372
siimple	372
galleria	369
reveal	369
black	368
firebase-messaging	368
tabulator	368
scrollspy	366
archive	364
datatables-fixedcolumns	363
beyond	360
slippry	359
social-share.js	357
leaflet-markercluster	355
isotope	353
demo	345
bootstrap4	344
desktop	343
bnf	342
container	340
enquire	337
manifest	336
academicons	334
jquery-sticky-kit	334
jquery-uniform	334
